"Date","y0.25","y0.5","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15"
19710331,3.64,3.74,3.7679,4.2231,4.584,4.8727,5.1056,5.2951,5.4508,NA,NA,NA,NA,NA,NA,NA,NA
19710630,5.22,5.42,6.0356,6.4732,6.6361,6.7183,6.7676,6.8005,6.824,NA,NA,NA,NA,NA,NA,NA,NA
19710930,4.6,4.92,5.1603,5.5107,5.7152,5.8422,5.9257,5.9838,6.026,6.0579,6.0828,6.1028,NA,NA,NA,NA,NA
19711231,3.68,4.03,4.3542,4.7912,5.1087,5.3434,5.52,5.6554,5.761,5.8448,5.9123,5.9677,6.0136,6.0523,6.0852,6.1136,6.1382
19720330,3.83,4.39,5.0208,5.5715,5.8148,5.9438,6.0221,6.0744,6.1118,6.1399,6.1617,6.1792,6.1935,6.2054,6.2154,6.2241,6.2315
19720630,4.06,4.57,5.0769,5.5089,5.7368,5.8691,5.9528,6.0096,6.0505,6.0812,6.1051,6.1242,6.1398,6.1529,6.1639,6.1733,6.1815
19720929,4.55,5.16,5.4438,5.8195,6.0145,6.1267,6.1972,6.245,6.2793,6.3051,6.3251,6.3412,6.3543,6.3653,6.3745,6.3825,6.3893
19721229,5.14,5.39,5.657,5.9204,6.0547,6.1311,6.1788,6.2111,6.2343,6.2517,6.2652,6.276,6.2849,6.2923,6.2985,6.3038,6.3085
19730330,6.4,6.77,6.9905,6.8679,6.7675,6.7043,6.6639,6.6365,6.6169,6.6022,6.5907,6.5815,6.574,6.5678,6.5625,6.5579,6.554
19730629,7.52,7.64,7.5887,7.0981,6.9194,6.83,6.7763,6.7405,6.715,6.6958,6.6809,6.669,6.6593,6.6511,6.6442,6.6383,6.6332
19730928,6.98,7.51,7.2711,6.8676,6.67,6.5901,6.5756,6.5957,6.6325,6.6758,6.7202,6.7629,6.8023,6.8382,6.8705,6.8994,6.9252
19731231,7.46,7.43,7.2024,6.7885,6.6782,6.6632,6.6747,6.6911,6.7062,6.7189,6.7292,6.7377,6.7447,6.7505,6.7555,6.7597,6.7634
19740329,8.28,8.2,8.1573,7.7276,7.5678,7.4872,7.4387,7.4064,7.3834,7.3661,7.3526,7.3419,7.3331,7.3257,7.3195,7.3142,7.3096
19740628,7.34,7.92,8.5459,8.3018,8.1328,8.013,7.9259,7.861,7.8115,7.7729,7.7422,7.7173,7.6967,7.6795,7.6649,7.6524,7.6415
19740930,6.12,7.28,8.0664,7.9713,7.9089,7.8758,7.8559,7.8426,7.8331,7.8259,7.8204,7.816,7.8123,7.8093,7.8068,7.8046,7.8027
19741231,7.06,7.05,7.1447,7.1538,7.1571,7.1587,7.1597,7.1604,7.1608,7.1612,7.1615,7.1617,7.1619,7.162,7.1621,7.1622,7.1623
19750331,5.53,5.76,6.2417,6.7571,7.0298,7.1766,7.2657,7.3251,7.3676,7.3994,7.4242,7.444,7.4603,7.4738,7.4852,7.495,7.5035
19750630,5.86,6.12,6.7608,7.1349,7.3454,7.4644,7.5322,7.5713,7.5941,7.6077,7.616,7.6212,7.6247,7.6271,7.6289,7.6303,7.6313
19750930,6.58,7.02,7.5426,7.9481,8.1054,8.1608,8.1755,8.1748,8.1691,8.1623,8.1559,8.1502,8.1453,8.1412,8.1376,8.1345,8.1318
19751231,5.2,5.49,6.1325,6.6944,7.026,7.2314,7.3657,7.4584,7.5255,7.5762,7.6156,7.6472,7.673,7.6946,7.7128,7.7284,7.742
19760331,4.97,5.36,6.0262,6.6315,6.9556,7.1454,7.266,7.3481,7.4072,7.4516,7.4862,7.5139,7.5366,7.5554,7.5714,7.5851,7.597
19760630,5.37,5.76,6.3932,6.883,7.1583,7.3247,7.4324,7.5065,7.5601,7.6005,7.6319,7.6571,7.6778,7.6949,7.7095,7.7219,7.7327
19760930,5.06,5.3,5.8056,6.251,6.576,6.8173,6.9995,7.1395,7.249,7.336,7.4063,7.464,7.5119,7.5522,7.5866,7.6161,7.6418
19761231,4.34,4.5,4.9313,5.3607,5.7077,5.9797,6.1907,6.3548,6.4833,6.5853,6.6674,6.7344,6.7898,6.8364,6.8759,6.9099,6.9394
19770331,4.54,4.78,5.4275,5.9937,6.3923,6.6731,6.874,7.0209,7.1311,7.2159,7.2827,7.3364,7.3806,7.4174,7.4486,7.4754,7.4986
19770630,4.98,5.19,5.6265,5.9819,6.2625,6.4859,6.6655,6.8112,6.9305,7.029,7.1112,7.1804,7.2391,7.2894,7.3328,7.3705,7.4035
19770930,5.89,6.19,6.5127,6.6948,6.8352,6.9446,7.0308,7.0995,7.155,7.2002,7.2374,7.2685,7.2947,7.3169,7.336,7.3525,7.367
19771230,6.13,6.44,6.8873,7.1044,7.2616,7.3776,7.4647,7.5314,7.5833,7.6244,7.6575,7.6847,7.7072,7.7261,7.7422,7.7561,7.7681
19780331,6.47,6.74,7.2575,7.5263,7.6774,7.7688,7.828,7.8687,7.8982,7.9203,7.9376,7.9515,7.9628,7.9723,7.9803,7.9871,7.993
19780630,7.01,7.41,8.1773,8.3074,8.3408,8.3557,8.3643,8.3701,8.3742,8.3773,8.3797,8.3816,8.3832,8.3845,8.3856,8.3865,8.3874
19780929,7.98,8.31,8.62,8.4319,8.3565,8.3186,8.2958,8.2806,8.2697,8.2616,8.2553,8.2502,8.2461,8.2426,8.2397,8.2372,8.235
19781229,9.26,9.48,10.2781,9.7661,9.4085,9.1959,9.063,8.9736,8.9096,8.8616,8.8243,8.7944,8.77,8.7496,8.7324,8.7176,8.7048
19790330,9.44,9.47,9.6876,9.3672,9.157,9.03,8.9496,8.8952,8.8563,8.827,8.8043,8.786,8.7712,8.7587,8.7482,8.7392,8.7314
19790629,8.95,8.95,8.9277,8.6752,8.5898,8.5471,8.5215,8.5044,8.4923,8.4831,8.476,8.4703,8.4656,8.4618,8.4585,8.4557,8.4532
19790928,10.12,10.12,10.5186,9.796,9.4998,9.35,9.2601,9.2001,9.1573,9.1251,9.1001,9.0801,9.0638,9.0502,9.0386,9.0287,9.0202
19791231,12.04,11.82,11.4596,10.7371,10.3205,10.0904,9.9727,9.9215,9.9088,9.9175,9.9374,9.9624,9.9891,10.0154,10.0405,10.0637,10.085
19800331,14.24,14.71,15.1069,13.978,13.0822,12.47,12.0978,11.9013,11.8224,11.817,11.8542,11.9137,11.9829,12.0543,12.1237,12.1889,12.2491
19800630,7.88,7.89,8.5252,8.8705,9.096,9.2447,9.3483,9.4299,9.506,9.5879,9.6829,9.7956,9.9281,10.081,10.2539,10.4455,10.6541
19800930,11.44,11.46,11.8352,11.7668,11.6226,11.492,11.4055,11.3667,11.3682,11.3998,11.4514,11.5151,11.5847,11.6561,11.7262,11.7935,11.857
19801231,14.3,13.76,13.0568,12.2879,12.1179,12.0498,11.9982,11.9538,11.9165,11.8861,11.8615,11.8414,11.8248,11.8109,11.7992,11.7891,11.7803
19810331,12.46,12.03,12.5838,12.7252,12.7735,12.7977,12.8121,12.8218,12.8287,12.8339,12.8379,12.8411,12.8438,12.846,12.8478,12.8494,12.8508
19810630,14.28,13.88,14.1452,13.853,13.6219,13.4434,13.3192,13.2326,13.17,13.1229,13.0863,13.0569,13.0329,13.0129,12.996,12.9815,12.969
19810930,14.34,14.79,15.6917,15.7815,15.5746,15.3498,15.1776,15.0611,14.9866,14.94,14.9108,14.8921,14.8798,14.8713,14.8651,14.8604,14.8565
19811231,11.08,11.98,13.2576,13.445,13.4536,13.4627,13.4752,13.4866,13.4957,13.5028,13.5085,13.513,13.5167,13.5197,13.5223,13.5246,13.5265
19820331,13.26,13.15,13.8479,13.8444,13.8088,13.7533,13.6875,13.6182,13.5499,13.4852,13.4255,13.3713,13.3225,13.279,13.2402,13.2057,13.1749
19820630,12.76,13.02,14.0085,14.1275,14.075,13.9778,13.8809,13.7974,13.7289,13.6735,13.6287,13.592,13.5617,13.5363,13.5147,13.4962,13.4801
19820930,7.62,8.76,10.3938,11.0633,11.2943,11.4098,11.4792,11.5254,11.5584,11.5832,11.6024,11.6178,11.6304,11.6409,11.6498,11.6574,11.664
19821231,7.92,8,8.8379,9.4221,9.8298,10.1044,10.2811,10.3877,10.4463,10.4744,10.4854,10.4896,10.4947,10.5062,10.5282,10.5632,10.6129
19830331,8.64,8.68,9.2239,9.658,9.9705,10.1905,10.3417,10.4431,10.5101,10.5549,10.587,10.6139,10.6413,10.6734,10.7131,10.7627,10.8233
19830630,8.79,8.88,9.5668,10.0113,10.3275,10.5459,10.6915,10.7845,10.8411,10.874,10.8934,10.9072,10.9214,10.9403,10.9672,11.0043,11.053
19830930,8.71,8.88,9.6662,10.2634,10.651,10.9018,11.0648,11.1716,11.2427,11.291,11.3248,11.3491,11.3671,11.381,11.392,11.401,11.4085
19831230,8.97,9.14,9.9521,10.5502,10.9368,11.187,11.3501,11.458,11.5309,11.5815,11.6176,11.6444,11.6649,11.681,11.6941,11.705,11.7142
19840330,9.72,9.86,10.6885,11.2276,11.5968,11.846,12.0109,12.117,12.1823,12.2196,12.238,12.2437,12.2412,12.2336,12.2228,12.2104,12.1973
19840629,9.92,10.46,11.9854,12.7456,13.0482,13.1982,13.2869,13.3459,13.3881,13.4198,13.4446,13.4644,13.4806,13.4941,13.5055,13.5153,13.5238
19840928,10.22,10.34,11.1979,11.7064,11.9635,12.0844,12.1331,12.1446,12.1378,12.1229,12.1052,12.0873,12.0704,12.055,12.0412,12.0289,12.0179
19841231,7.85,8.19,9.1143,9.9548,10.4881,10.8312,11.056,11.2066,11.3101,11.3834,11.437,11.4774,11.5089,11.5342,11.555,11.5724,11.5873
19850329,8.18,8.55,9.5094,10.2664,10.7302,11.0214,11.2107,11.3395,11.4318,11.5016,11.5571,11.6029,11.6418,11.6757,11.7056,11.7322,11.756
19850628,6.83,6.97,7.8124,8.6052,9.1723,9.5701,9.8435,10.0278,10.1508,10.2341,10.294,10.3429,10.3899,10.4418,10.5029,10.5762,10.6634
19850930,7.04,7.06,8.011,8.7718,9.2769,9.6148,9.8463,10.0128,10.1418,10.2511,10.3519,10.4507,10.5511,10.6546,10.7614,10.8713,10.9834
19851231,7.05,7.08,7.6074,7.9363,8.1951,8.4044,8.5788,8.728,8.859,8.9762,9.0828,9.181,9.2721,9.3571,9.4367,9.5114,9.5816
19860331,6.34,6.28,6.829,7.0092,7.1372,7.231,7.3023,7.3587,7.405,7.4443,7.4786,7.5091,7.5367,7.5619,7.585,7.6064,7.6261
19860630,5.96,5.95,6.5566,6.9431,7.1914,7.3545,7.4658,7.5457,7.6068,7.6565,7.6992,7.7374,7.7724,7.8051,7.8357,7.8645,7.8915
19860930,5.2,5.39,5.9166,6.4215,6.7843,7.0564,7.2692,7.442,7.5867,7.7107,7.8186,7.9138,7.9982,8.0736,8.1412,8.202,8.2568
19861231,5.67,5.63,6.1155,6.3613,6.5622,6.7421,6.9088,7.0639,7.2072,7.3381,7.4565,7.5628,7.6578,7.7423,7.8175,7.8843,7.9439
19870331,5.61,5.74,6.2574,6.5257,6.7329,6.9106,7.0702,7.2153,7.3466,7.4647,7.5699,7.6632,7.7456,7.8183,7.8823,7.9389,7.9891
19870630,5.73,5.91,6.9199,7.36,7.646,7.8547,8.0186,8.1524,8.2634,8.3562,8.4342,8.5002,8.5562,8.604,8.6452,8.6809,8.712
19870930,6.61,6.83,7.8631,8.4541,8.7799,8.997,9.162,9.2956,9.4064,9.499,9.5766,9.6419,9.6971,9.7441,9.7844,9.8192,9.8495
19871231,5.68,6.17,7.2328,7.6822,7.9454,8.1714,8.368,8.535,8.6738,8.787,8.8774,8.9478,9.0005,9.0381,9.0625,9.0756,9.079
19880331,5.71,6.04,6.8459,7.2929,7.5727,7.807,8.0204,8.2142,8.386,8.5346,8.6599,8.7629,8.8453,8.9087,8.9551,8.9864,9.0042
19880630,6.56,6.71,7.5141,7.8851,8.0526,8.1947,8.3368,8.4747,8.6022,8.7155,8.8132,8.8949,8.9615,9.0139,9.0534,9.0811,9.0983
19880930,7.25,7.46,8.1109,8.2847,8.3533,8.4226,8.5027,8.5871,8.6691,8.7448,8.8121,8.8704,8.9196,8.96,8.9921,9.0167,9.0343
19881230,8.1,8.2,8.9648,8.9718,8.9671,8.9842,9.0037,9.0177,9.0243,9.024,9.0176,9.0064,8.9915,8.9737,8.954,8.933,8.9112
19890331,8.9,8.99,9.6584,9.5663,9.4589,9.3813,9.3174,9.26,9.2071,9.1585,9.1141,9.0739,9.0377,9.0053,8.9762,8.9502,8.9269
19890630,7.99,7.72,8.1332,7.9588,7.9246,7.9445,7.9783,8.0116,8.0395,8.0605,8.0745,8.0823,8.0844,8.0816,8.0748,8.0646,8.0516
19890929,7.91,7.9,8.3863,8.2843,8.2628,8.2625,8.2656,8.2674,8.2667,8.2635,8.2583,8.2513,8.2431,8.234,8.2243,8.2143,8.2042
19891229,7.55,7.48,7.8239,7.7684,7.7751,7.8013,7.8299,7.855,7.8751,7.8906,7.9022,7.9107,7.9168,7.9211,7.924,7.9258,7.9268
19900330,7.8,7.81,8.3192,8.4778,8.542,8.5639,8.5698,8.5701,8.5687,8.567,8.5654,8.564,8.5628,8.5618,8.561,8.5602,8.5596
19900629,7.74,7.61,7.9659,8.0944,8.1815,8.2449,8.2917,8.3259,8.3504,8.3673,8.3785,8.3853,8.3886,8.3894,8.3882,8.3856,8.3819
19900928,7.14,7.17,7.7136,7.9191,8.1007,8.2608,8.4012,8.5238,8.6301,8.7215,8.7994,8.8648,8.9187,8.9622,8.9961,9.021,9.0378
19901231,6.44,6.43,6.9164,7.1467,7.3515,7.5328,7.6923,7.8318,7.9529,8.0569,8.1453,8.2193,8.28,8.3285,8.3659,8.393,8.4107
19910328,5.74,5.78,6.425,6.9488,7.3059,7.5541,7.7317,7.8634,7.9653,8.0475,8.1161,8.1748,8.2255,8.2695,8.3071,8.3387,8.3641
19910628,5.54,5.68,6.3303,6.9265,7.3366,7.6358,7.8631,8.0397,8.1786,8.288,8.3737,8.4401,8.4905,8.5275,8.5534,8.5699,8.5785
19910930,5.11,5.12,5.5314,5.9952,6.3804,6.6993,6.9627,7.1793,7.3568,7.5014,7.6186,7.7129,7.788,7.8472,7.8932,7.9281,7.9539
19911231,3.88,3.86,4.2323,4.8144,5.3089,5.727,6.0788,6.3733,6.6186,6.8216,6.9886,7.1252,7.2362,7.326,7.3983,7.4565,7.5033
19920331,4.05,4.17,4.7632,5.6244,6.2605,6.7265,7.0651,7.309,7.4835,7.6077,7.6961,7.7596,7.8062,7.8418,7.8708,7.8961,7.9198
19920630,3.57,3.65,4.1684,4.8597,5.4456,5.9401,6.3553,6.7021,6.99,7.2273,7.4213,7.5786,7.7048,7.8047,7.8827,7.9425,7.9873
19920930,2.69,2.84,3.2185,3.8673,4.4476,4.965,5.4243,5.8303,6.1875,6.4997,6.7709,7.0045,7.2039,7.3721,7.5119,7.626,7.7168
19921230,3.12,3.29,3.7304,4.5052,5.1804,5.7107,6.1137,6.4189,6.6524,6.8342,6.9783,7.0947,7.1905,7.2705,7.3383,7.3964,7.4468
19930331,2.89,3,3.4142,3.9615,4.4798,4.9391,5.3328,5.6645,5.942,6.1737,6.3678,6.531,6.6693,6.7872,6.8885,6.9764,7.053
19930630,3.03,3.13,3.5494,4.0234,4.4287,4.777,5.0776,5.3382,5.5651,5.7634,5.9375,6.0909,6.2266,6.3471,6.4544,6.5504,6.6365
19930930,2.92,3.04,3.4451,3.8874,4.2504,4.5536,4.8108,5.032,5.2247,5.3943,5.5447,5.6792,5.8,5.9091,6.0081,6.0981,6.1801
19931231,3.01,3.2,3.6834,4.2071,4.6124,4.9385,5.2084,5.4362,5.6311,5.7994,5.9456,6.0732,6.185,6.2832,6.3699,6.4467,6.5148
